ID,Average User Rating,User Rating Count,Price,In-app Purchases,Age Rating,Languages,Size,Genres,Number of Languages,Number of Genres,In-App Purchase Present
1175241527,4.5,5259.0,0.0,"4.99, 4.99, 0.99, 99.99, 19.99, 9.99, 29.99, 0.99, 99.99, 9.99",12+,"EN, FR, DE, ID, IT, JA, KO, PT, RU, ZH, ES, TH, ZH, TR, VI",463272960.0,"Games, Simulation, Entertainment, Strategy",15,4,N
1175370741,5.0,11865.0,0.0,"1.99, 19.99, 4.99, 9.99, 1.99, 4.99, 99.99, 4.99, 4.99, 7.99",12+,"AR, EN, FR, DE, IT, JA, KO, PT, RU, ZH, ES, TR",1514822656.0,"Games, Strategy, Role Playing",12,3,N
1178777377,5.0,20329.0,0.0,"0.99, 4.99, 4.99, 9.99, 2.99, 0.99, 4.99, 9.99, 19.99, 4.99",12+,EN,1019900928.0,"Games, Strategy, Action",1,3,N
1179097907,4.5,3239.0,0.0,"0.99, 1.99, 2.99, 0.99, 8.99, 1.99, 5.99",12+,"AR, NL, EN, FR, DE, HI, JA, KO, PT, RU, ZH, ES, TH, ZH",73928704.0,"Games, Entertainment, Board, Strategy",14,4,N
1181774280,5.0,120283.0,0.0,"12.99, 5.99, 1.99, 39.99, 19.99, 74.99, 26.99, 9.99, 3.99, 9.99",12+,"EN, FR, DE, IT, JA, PT, ES, ZH",175634432.0,"Games, Strategy, Role Playing",8,3,N
1183898700,4.5,773.0,4.99,,12+,"EN, FR, DE, IT, RU, ES",3599435776.0,"Games, Simulation, Strategy",6,3,Y
1185435679,4.5,1395.0,0.0,"4.99, 19.99, 0.99, 9.99, 49.99, 1.99, 2.99, 99.99, 14.99, 29.99",12+,"EN, FR, DE, JA, KO, PT, RU, ZH, ES, ZH, TR",171913216.0,"Games, Adventure, Strategy",11,3,N
1185779587,4.5,1138.0,0.0,"9.99, 4.99, 4.99, 14.99, 29.99, 9.99, 19.99, 9.99, 4.99, 9.99",12+,EN,243664896.0,"Games, Role Playing, Strategy, Entertainment",1,4,N
1186263817,4.5,991.0,0.0,"4.99, 15.99, 15.99, 79.99, 0.99, 8.99, 79.99, 15.99, 0.99, 40.99",4+,"AR, ZH, DA, NL, EN, FR, DE, EL, ID, IT, NB, PL, PT, RO, RU, ES, SV, TR",314932224.0,"Games, Sports, Sports, Strategy",18,4,N
1186994231,4.0,40729.0,0.0,"4.99, 99.99, 19.99, 99.99, 29.99, 99.99, 99.99, 49.99, 99.99, 49.99",12+,"AR, EN, FR, DE, IT, JA, KO, PT, RU, ZH, ES, ZH, TR",188702720.0,"Games, Strategy, Role Playing, Social Networking",13,4,N
1190027085,5.0,581.0,0.0,"9.99, 1.99, 0.99, 49.99, 99.99",12+,"EN, FR, DE, JA, RU, ZH, ES, ZH",173731840.0,"Games, Role Playing, Strategy, Entertainment",8,4,N
1192473862,4.0,2181.0,0.0,"1.99, 7.99, 9.99, 17.99, 3.99, 9.99, 6.99, 4.99, 12.99, 4.99",12+,EN,384225280.0,"Games, Strategy, Action",1,3,N
1193933380,4.5,52252.0,0.0,"1.99, 0.99, 1.99, 0.99, 4.99, 4.99, 3.99, 1.99, 9.99, 5.99",4+,"AR, NL, EN, FR, DE, IT, JA, KO, PT, RO, RU, ES, TR",188502016.0,"Games, Sports, Strategy, Sports",13,4,N
1196055246,4.5,2214.0,0.0,"1.99, 1.99, 4.99, 7.99, 7.99, 2.99, 9.99, 7.99, 1.99, 14.99",4+,EN,165830656.0,"Games, Strategy, Education, Family",1,4,N
1196907006,4.5,3903.0,0.0,"0.99, 5.99, 1.99, 1.99, 0.99, 17.99, 2.99, 49.99, 19.99, 1.99",12+,EN,112946176.0,"Games, Entertainment, Simulation, Strategy",1,4,N
1197076384,4.5,6738.0,0.0,"9.99, 19.99, 5.99, 4.99, 4.99, 10.99, 2.99, 49.99, 3.99, 10.99",9+,"ZH, EN, FR, DE, IT, JA, KO, PL, PT, RU, ZH, ES, ZH, TR, VI",245937152.0,"Games, Strategy, Action",15,3,N
